Name                          , WikipediaUrl
Drachten						      , https://en.wikipedia.org/wiki/Drachten
Leeuwarden					      , https://en.wikipedia.org/wiki/Leeuwarden
Groningen						   , https://en.wikipedia.org/wiki/Groningen
Groningen Airport Eelde	      , https://en.wikipedia.org/wiki/Groningen_Airport_Eelde
Amsterdam						   , https://en.wikipedia.org/wiki/Amsterdam
Amsterdam Schiphol			   , https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol
New York City      			   , https://en.wikipedia.org/wiki/New_York_City
